,zipcode,local
312,2240,ZANDHOVEN
313,2242,Pulderbos
314,2243,Pulle
315,2250,OLEN
316,2260,WESTERLO
317,2260,Tongerlo
318,2260,Zoerle-Parwijs
319,2260,Oevel
320,2270,HERENTHOUT
321,2275,Poederlee
322,2275,LILLE
323,2275,Gierle
324,2275,Wechelderzande
325,2280,GROBBENDONK
326,2288,Bouwel
327,2290,VORSELAAR
328,2300,TURNHOUT
329,2310,RIJKEVORSEL
330,2320,HOOGSTRATEN
331,2321,Meer
332,2322,Minderhout
333,2323,Wortel
334,2328,Meerle
335,2330,MERKSPLAS
336,2340,BEERSE
337,2340,Vlimmeren
338,2350,VOSSELAAR
339,2360,OUD-TURNHOUT
340,2370,ARENDONK
341,2380,RAVELS
342,2381,Weelde
343,2382,Poppel
344,2387,BAARLE-HERTOG
345,2390,Westmalle
346,2390,MALLE
347,2390,Oostmalle
348,2400,MOL
349,2430,LAAKDAL
350,2430,Eindhout
351,2430,Vorst
352,2431,Varendonk
353,2431,Veerle
354,2440,GEEL
355,2450,MEERHOUT
356,2460,Tielen
357,2460,KASTERLEE
358,2460,Lichtaart
359,2470,RETIE
360,2480,DESSEL
361,2490,BALEN
362,2491,Olmen
363,2500,Koningshooikt
364,2500,LIER
365,2520,RANST
366,2520,Emblem
367,2520,Broechem
368,2520,Oelegem
369,2530,BOECHOUT
370,2531,Vremde
371,2540,HOVE
372,2547,LINT
373,2550,Waarloos
374,2550,KONTICH
375,2560,Bevel
376,2560,Kessel
377,2560,NIJLEN
378,2570,DUFFEL
379,2580,PUTTE
380,2580,Beerzel
381,2590,Gestel
382,2590,BERLAAR
383,2600,Berchem
384,2610,Wilrijk
385,2620,HEMIKSEM
386,2627,SCHELLE
387,2630,AARTSELAAR
388,2640,MORTSEL
389,2650,EDEGEM
390,2660,Hoboken
391,2800,Walem
392,2800,MECHELEN
393,2801,Heffen
394,2811,Leest
395,2811,Hombeek
396,2812,Muizen
397,2820,BONHEIDEN
398,2820,Rijmenam
399,2830,Blaasveld
400,2830,Tisselt
401,2830,Heindonk
402,2830,WILLEBROEK
403,2840,RUMST
404,2840,Terhagen
405,2840,Reet
406,2845,NIEL
407,2850,BOOM
408,2860,SINT-KATELIJNE-WAVER
409,2861,Onze-Lieve-Vrouw-Waver
410,2870,Ruisbroek
411,2870,Liezele
412,2870,Breendonk
413,2870,Puurs
414,2870,PUURS-SINT-AMANDS
415,2880,Mariekerke
416,2880,Weert
417,2880,Hingene
418,2880,BORNEM
419,2890,Lippelo
420,2890,Oppuurs
421,2890,Sint-Amands
422,2900,SCHOTEN
423,2910,ESSEN
424,2920,KALMTHOUT
425,2930,BRASSCHAAT
426,2940,STABROEK
427,2940,Hoevenen
428,2950,KAPELLEN
429,2960,BRECHT
430,2960,Sint-Lenaarts
431,2960,Sint-Job-In-'T-Goor
432,2970,SCHILDE
433,2970,S Gravenwezel
434,2980,ZOERSEL
435,2980,Halle
436,2990,WUUSTWEZEL
437,2990,Loenhout
438,3000,LEUVEN
439,3001,Heverlee
440,3010,Kessel Lo
441,3012,Wilsele
442,3018,Wijgmaal
443,3020,Veltem-Beisem
444,3020,Winksele
445,3020,HERENT
446,3040,Ottenburg
447,3040,Loonbeek
448,3040,Neerijse
449,3040,HULDENBERG
450,3040,Sint-Agatha-Rode
451,3050,OUD-HEVERLEE
